neighbourhood_group,neighbourhood,price,room_type
Manhattan,Murray Hill,175,Entire home/apt
Brooklyn,Greenpoint,200,Entire home/apt
Manhattan,East Village,100,Private room
Brooklyn,Crown Heights,50,Entire home/apt
Manhattan,Kips Bay,175,Entire home/apt
Brooklyn,Greenpoint,199,Entire home/apt
Brooklyn,Greenpoint,54,Private room
Brooklyn,Park Slope,130,Entire home/apt
Brooklyn,Bedford-Stuyvesant,151,Entire home/apt
Manhattan,Morningside Heights,80,Entire home/apt
Manhattan,Lower East Side,110,Entire home/apt
Brooklyn,Bushwick,60,Entire home/apt
Brooklyn,Bedford-Stuyvesant,110,Entire home/apt
Brooklyn,Greenpoint,73,Private room
Brooklyn,Bedford-Stuyvesant,177,Entire home/apt
Queens,Sunnyside,90,Entire home/apt
Manhattan,Lower East Side,190,Entire home/apt
Brooklyn,Crown Heights,105,Entire home/apt
Manhattan,Harlem,150,Entire home/apt
Bronx,Longwood,65,Private room
Brooklyn,Williamsburg,35,Private room
Brooklyn,Williamsburg,700,Entire home/apt
Brooklyn,Brooklyn Heights,185,Entire home/apt
Manhattan,Upper West Side,150,Entire home/apt
Brooklyn,Bedford-Stuyvesant,100,Private room
Brooklyn,Williamsburg,575,Entire home/apt
Manhattan,Lower East Side,128,Private room
Manhattan,East Village,299,Entire home/apt
Manhattan,Chinatown,169,Entire home/apt
Manhattan,East Village,109,Private room
Brooklyn,Clinton Hill,99,Entire home/apt
Queens,Astoria,130,Entire home/apt
Manhattan,West Village,239,Entire home/apt
Brooklyn,Clinton Hill,100,Entire home/apt
Brooklyn,Gowanus,124,Entire home/apt
Brooklyn,Flatbush,69,Private room
Brooklyn,Williamsburg,180,Entire home/apt
Brooklyn,Williamsburg,225,Entire home/apt
Manhattan,Hell's Kitchen,119,Entire home/apt
Manhattan,Chelsea,220,Entire home/apt
Brooklyn,Crown Heights,150,Entire home/apt
Brooklyn,Prospect Heights,75,Private room
Brooklyn,Greenpoint,51,Private room
Manhattan,Upper East Side,150,Entire home/apt
Brooklyn,Williamsburg,91,Private room
Manhattan,Chelsea,139,Entire home/apt
Brooklyn,Fort Greene,100,Entire home/apt
Queens,Ridgewood,60,Private room
Manhattan,NoHo,255,Entire home/apt
Queens,Sunnyside,94,Entire home/apt
Manhattan,East Village,179,Entire home/apt
Manhattan,Upper East Side,135,Entire home/apt
Brooklyn,Flatbush,50,Private room
Brooklyn,Bushwick,350,Entire home/apt
Manhattan,Upper East Side,150,Entire home/apt
Manhattan,Nolita,375,Entire home/apt
Manhattan,Upper West Side,150,Private room
Manhattan,Hell's Kitchen,175,Entire home/apt
Brooklyn,Park Slope,170,Entire home/apt
Brooklyn,Williamsburg,275,Entire home/apt
Brooklyn,Bushwick,30,Private room
Brooklyn,Cobble Hill,150,Entire home/apt
Manhattan,Midtown,140,Entire home/apt
Manhattan,Upper West Side,200,Entire home/apt
Manhattan,Upper West Side,560,Entire home/apt
Manhattan,Theater District,240,Entire home/apt
Queens,Ridgewood,99,Entire home/apt
Manhattan,Gramercy,195,Entire home/apt
Manhattan,Murray Hill,89,Private room
Brooklyn,Bushwick,65,Private room
Manhattan,West Village,156,Entire home/apt
Manhattan,East Village,120,Private room
Manhattan,Upper West Side,400,Entire home/apt
Brooklyn,Williamsburg,210,Entire home/apt
Brooklyn,Greenpoint,159,Entire home/apt
Brooklyn,Bedford-Stuyvesant,55,Private room
Brooklyn,Greenpoint,129,Entire home/apt
Manhattan,Upper West Side,300,Entire home/apt
Brooklyn,Bushwick,79,Private room
Brooklyn,Prospect-Lefferts Gardens,100,Private room
Queens,Maspeth,64,Entire home/apt
Brooklyn,Williamsburg,110,Private room
Manhattan,Harlem,55,Private room
Brooklyn,Bedford-Stuyvesant,55,Private room
Brooklyn,Bushwick,75,Private room
Brooklyn,Greenpoint,70,Private room
Manhattan,Upper East Side,85,Shared room
Brooklyn,Windsor Terrace,130,Entire home/apt
Brooklyn,South Slope,120,Private room
Brooklyn,Flatbush,50,Entire home/apt
Manhattan,Washington Heights,100,Entire home/apt
Manhattan,Lower East Side,145,Entire home/apt
Brooklyn,Williamsburg,100,Private room
Manhattan,West Village,200,Entire home/apt
Manhattan,Harlem,80,Entire home/apt
Manhattan,Upper West Side,200,Entire home/apt
Manhattan,West Village,325,Entire home/apt
Queens,Long Island City,120,Entire home/apt
Manhattan,Hell's Kitchen,180,Private room
Manhattan,Financial District,379,Entire home/apt
Brooklyn,Borough Park,33,Private room
Brooklyn,Williamsburg,60,Private room
Brooklyn,Greenpoint,199,Entire home/apt
Brooklyn,Greenpoint,149,Entire home/apt
Manhattan,Upper East Side,150,Entire home/apt
Manhattan,Harlem,98,Entire home/apt
Manhattan,East Village,250,Entire home/apt
Brooklyn,Bushwick,60,Private room
Brooklyn,Williamsburg,149,Entire home/apt
Brooklyn,Williamsburg,95,Private room
Brooklyn,Bedford-Stuyvesant,85,Entire home/apt
Manhattan,Chelsea,90,Entire home/apt
Queens,Astoria,47,Private room
Manhattan,Hell's Kitchen,180,Entire home/apt
Manhattan,Battery Park City,110,Private room
Brooklyn,Carroll Gardens,170,Entire home/apt
Manhattan,Greenwich Village,210,Entire home/apt
Manhattan,Upper West Side,900,Entire home/apt
Queens,Richmond Hill,65,Entire home/apt
Brooklyn,Bedford-Stuyvesant,60,Private room
Manhattan,Upper West Side,225,Entire home/apt
Brooklyn,Bushwick,200,Entire home/apt
Brooklyn,Bedford-Stuyvesant,170,Entire home/apt
Manhattan,Washington Heights,62,Private room
Manhattan,Murray Hill,125,Entire home/apt
Manhattan,SoHo,106,Private room
Manhattan,Harlem,93,Private room
Manhattan,Upper East Side,85,Private room
Manhattan,Washington Heights,300,Private room
Manhattan,Lower East Side,224,Entire home/apt
Brooklyn,Williamsburg,145,Private room
Brooklyn,Crown Heights,40,Private room
Manhattan,Hell's Kitchen,135,Private room
Manhattan,Midtown,97,Private room
Manhattan,Upper East Side,69,Private room
Brooklyn,Bushwick,225,Entire home/apt
Manhattan,SoHo,900,Entire home/apt
Manhattan,Hell's Kitchen,215,Entire home/apt
Brooklyn,Bushwick,99,Private room
Manhattan,East Village,850,Entire home/apt
Queens,Sunnyside,60,Private room
Manhattan,Upper East Side,303,Entire home/apt
Manhattan,Upper West Side,750,Entire home/apt
Brooklyn,Bedford-Stuyvesant,111,Entire home/apt
Brooklyn,Greenpoint,60,Private room
Brooklyn,Williamsburg,320,Entire home/apt
Brooklyn,Bedford-Stuyvesant,112,Entire home/apt
Brooklyn,Bedford-Stuyvesant,185,Entire home/apt
Queens,Long Island City,100,Private room
Brooklyn,Bushwick,150,Entire home/apt
Manhattan,Hell's Kitchen,130,Private room
Brooklyn,Bushwick,130,Entire home/apt
Manhattan,Financial District,575,Entire home/apt
Brooklyn,Carroll Gardens,125,Entire home/apt
Manhattan,East Village,190,Entire home/apt
Brooklyn,Bushwick,70,Private room
Manhattan,Upper West Side,599,Entire home/apt
Brooklyn,Bedford-Stuyvesant,80,Private room
Manhattan,Upper East Side,99,Entire home/apt
Manhattan,Upper East Side,100,Entire home/apt
Manhattan,Theater District,200,Entire home/apt
Manhattan,Harlem,60,Private room
Brooklyn,Prospect-Lefferts Gardens,100,Private room
Manhattan,Harlem,90,Private room
Brooklyn,Clinton Hill,61,Private room
Brooklyn,Williamsburg,99,Private room
Queens,Ridgewood,100,Private room
Manhattan,Upper West Side,340,Entire home/apt
Brooklyn,Williamsburg,75,Private room
Brooklyn,Williamsburg,130,Entire home/apt
Brooklyn,Williamsburg,140,Entire home/apt
Manhattan,Harlem,112,Entire home/apt
Manhattan,East Village,160,Entire home/apt
Manhattan,Harlem,165,Entire home/apt
Manhattan,Chelsea,80,Private room
Manhattan,Hell's Kitchen,850,Entire home/apt
Manhattan,Midtown,950,Entire home/apt
Manhattan,Chelsea,160,Entire home/apt
Manhattan,West Village,300,Entire home/apt
Brooklyn,Bedford-Stuyvesant,150,Entire home/apt
Brooklyn,Park Slope,250,Entire home/apt
Manhattan,East Village,100,Entire home/apt
Manhattan,Harlem,49,Private room
Manhattan,Upper East Side,675,Entire home/apt
Manhattan,Hell's Kitchen,150,Entire home/apt
Manhattan,Upper East Side,300,Entire home/apt
Manhattan,Lower East Side,79,Private room
Manhattan,East Village,225,Entire home/apt
Brooklyn,Bedford-Stuyvesant,90,Private room
Brooklyn,Fort Greene,285,Entire home/apt
Manhattan,Upper West Side,300,Entire home/apt
Brooklyn,Bushwick,55,Private room
Manhattan,Washington Heights,80,Entire home/apt
Manhattan,Washington Heights,90,Private room
Manhattan,Upper East Side,325,Entire home/apt
Manhattan,Washington Heights,55,Private room
Manhattan,NoHo,208,Private room
Manhattan,West Village,156,Entire home/apt
Brooklyn,Bedford-Stuyvesant,85,Entire home/apt
Brooklyn,Fort Greene,200,Entire home/apt
Manhattan,East Village,180,Entire home/apt
Brooklyn,Williamsburg,250,Entire home/apt
Brooklyn,Williamsburg,325,Entire home/apt
Manhattan,Midtown,140,Entire home/apt
Manhattan,Chinatown,160,Entire home/apt
Manhattan,Lower East Side,130,Private room
Manhattan,West Village,110,Private room
Manhattan,Kips Bay,150,Entire home/apt
Manhattan,Upper West Side,149,Private room
Manhattan,Chelsea,900,Entire home/apt
Manhattan,Chelsea,215,Entire home/apt
Manhattan,Upper West Side,155,Entire home/apt
Brooklyn,Gowanus,50,Private room
Brooklyn,Greenpoint,225,Entire home/apt
Manhattan,Harlem,65,Private room
Brooklyn,Bedford-Stuyvesant,112,Entire home/apt
Manhattan,Lower East Side,250,Entire home/apt
Brooklyn,Williamsburg,65,Private room
Brooklyn,Greenpoint,159,Entire home/apt
Manhattan,Upper West Side,99,Entire home/apt
Manhattan,Upper West Side,395,Entire home/apt
Brooklyn,Bushwick,145,Private room
Manhattan,West Village,185,Entire home/apt
Brooklyn,Williamsburg,45,Private room
Manhattan,Upper West Side,60,Entire home/apt
Manhattan,Kips Bay,749,Entire home/apt
Manhattan,Washington Heights,55,Private room
Manhattan,Midtown,1000,Entire home/apt
Manhattan,West Village,165,Entire home/apt
Manhattan,Chelsea,285,Entire home/apt
Manhattan,Upper East Side,220,Entire home/apt
Bronx,Kingsbridge,75,Private room
Brooklyn,Bushwick,120,Entire home/apt
Manhattan,Gramercy,650,Entire home/apt
Manhattan,Midtown,750,Entire home/apt
Brooklyn,Bushwick,100,Entire home/apt
Manhattan,Harlem,95,Private room
Manhattan,Financial District,1000,Shared room
Manhattan,Greenwich Village,119,Private room
Manhattan,East Village,200,Entire home/apt
Brooklyn,Crown Heights,48,Shared room
Manhattan,East Village,30,Shared room
Queens,Astoria,65,Entire home/apt
Queens,Long Island City,79,Private room
Manhattan,Kips Bay,105,Entire home/apt
Manhattan,Kips Bay,420,Entire home/apt
Manhattan,Upper East Side,250,Entire home/apt
Brooklyn,Bushwick,95,Entire home/apt
Brooklyn,Sunset Park,290,Entire home/apt
Manhattan,Harlem,100,Entire home/apt
Manhattan,Chelsea,395,Entire home/apt
Manhattan,Upper East Side,180,Entire home/apt
Manhattan,Upper West Side,380,Entire home/apt
Brooklyn,Bensonhurst,40,Entire home/apt
Brooklyn,Bensonhurst,45,Entire home/apt
Manhattan,Lower East Side,300,Entire home/apt
Manhattan,Upper West Side,125,Private room
Manhattan,Upper East Side,110,Entire home/apt
Brooklyn,Crown Heights,105,Entire home/apt
Brooklyn,Park Slope,45,Private room
Manhattan,Greenwich Village,1000,Entire home/apt
Brooklyn,Prospect-Lefferts Gardens,80,Entire home/apt
Manhattan,Upper West Side,375,Entire home/apt
Manhattan,Upper West Side,1000,Entire home/apt
Manhattan,Upper West Side,89,Private room
Manhattan,East Village,129,Private room
Manhattan,East Village,500,Private room
Manhattan,Upper East Side,500,Entire home/apt
Manhattan,Tribeca,250,Entire home/apt
Manhattan,West Village,250,Entire home/apt
Manhattan,Upper East Side,175,Entire home/apt
Brooklyn,Bedford-Stuyvesant,40,Private room
Manhattan,Upper East Side,400,Entire home/apt
Brooklyn,Williamsburg,85,Private room
Brooklyn,Clinton Hill,219,Entire home/apt
Manhattan,Upper East Side,130,Entire home/apt
Brooklyn,Greenpoint,149,Entire home/apt
Manhattan,Kips Bay,100,Entire home/apt
Manhattan,Greenwich Village,289,Entire home/apt
Manhattan,Upper West Side,67,Private room
Manhattan,Chelsea,221,Entire home/apt
Manhattan,Chelsea,750,Entire home/apt
Brooklyn,Williamsburg,75,Private room
Manhattan,Hell's Kitchen,350,Entire home/apt
Manhattan,Battery Park City,425,Entire home/apt
Manhattan,SoHo,200,Entire home/apt
Manhattan,Chelsea,1000,Entire home/apt
Brooklyn,Williamsburg,100,Private room
Queens,Astoria,65,Shared room
Manhattan,East Village,112,Entire home/apt
Manhattan,Murray Hill,175,Entire home/apt
Queens,Sunnyside,120,Entire home/apt
Manhattan,Upper West Side,150,Entire home/apt
Manhattan,Kips Bay,369,Entire home/apt
Manhattan,Harlem,81,Private room
Brooklyn,Williamsburg,89,Private room
Brooklyn,Greenpoint,199,Entire home/apt
Brooklyn,Greenpoint,149,Entire home/apt
Brooklyn,Sunset Park,45,Private room
Brooklyn,Greenpoint,149,Entire home/apt
Queens,Sunnyside,600,Entire home/apt
Manhattan,Kips Bay,400,Entire home/apt
Queens,Jamaica,65,Private room
Manhattan,Upper West Side,150,Entire home/apt
Brooklyn,Gowanus,265,Entire home/apt
Manhattan,Greenwich Village,199,Entire home/apt
Manhattan,Hell's Kitchen,395,Entire home/apt
Manhattan,Upper West Side,150,Entire home/apt
Brooklyn,Gowanus,130,Entire home/apt
Manhattan,Greenwich Village,175,Private room
Manhattan,Hell's Kitchen,90,Private room
Manhattan,Upper West Side,350,Entire home/apt
Brooklyn,Williamsburg,250,Entire home/apt
Manhattan,Midtown,250,Private room
Brooklyn,Williamsburg,500,Entire home/apt
Brooklyn,Carroll Gardens,180,Entire home/apt
Manhattan,Upper West Side,800,Entire home/apt
Manhattan,Upper West Side,85,Entire home/apt
Brooklyn,Bushwick,49,Private room
Manhattan,Upper West Side,750,Entire home/apt
Brooklyn,Greenpoint,91,Private room
Manhattan,West Village,100,Private room
Manhattan,Kips Bay,152,Entire home/apt
Brooklyn,Williamsburg,250,Entire home/apt
Manhattan,Murray Hill,110,Private room
Brooklyn,Williamsburg,73,Private room
Queens,Astoria,300,Shared room
Manhattan,Upper East Side,1000,Entire home/apt
Manhattan,Upper East Side,135,Entire home/apt
Manhattan,Upper East Side,75,Entire home/apt
Manhattan,Midtown,600,Private room
Manhattan,Hell's Kitchen,800,Entire home/apt
Bronx,Riverdale,250,Entire home/apt
Manhattan,Hell's Kitchen,200,Entire home/apt
Brooklyn,Bedford-Stuyvesant,75,Private room
Manhattan,Financial District,1000,Entire home/apt
Brooklyn,Boerum Hill,900,Entire home/apt
Manhattan,Tribeca,70,Private room
Queens,Rego Park,88,Entire home/apt
Manhattan,Hell's Kitchen,425,Entire home/apt
Manhattan,Theater District,975,Entire home/apt
Brooklyn,Park Slope,305,Entire home/apt
Manhattan,Lower East Side,220,Entire home/apt
Manhattan,Hell's Kitchen,150,Entire home/apt
Brooklyn,Bushwick,49,Private room
Brooklyn,Bay Ridge,86,Entire home/apt
Brooklyn,Flatbush,140,Entire home/apt
Queens,Kew Gardens Hills,86,Entire home/apt
Manhattan,Upper West Side,650,Entire home/apt
Manhattan,East Village,350,Entire home/apt
Manhattan,Upper East Side,225,Entire home/apt
Manhattan,Chinatown,75,Private room
Manhattan,Chelsea,150,Entire home/apt
Manhattan,Harlem,199,Private room
Brooklyn,Williamsburg,95,Entire home/apt
Brooklyn,Clinton Hill,200,Entire home/apt
Manhattan,Upper West Side,200,Entire home/apt
Brooklyn,Cobble Hill,175,Entire home/apt
Brooklyn,Greenpoint,129,Entire home/apt
Brooklyn,Williamsburg,200,Entire home/apt
Manhattan,Harlem,60,Private room
Manhattan,Financial District,130,Private room
Manhattan,East Harlem,115,Private room
Manhattan,West Village,135,Private room
Manhattan,Upper East Side,300,Private room
Queens,Ridgewood,59,Private room
Brooklyn,Clinton Hill,196,Entire home/apt
Brooklyn,Bushwick,128,Private room
Manhattan,Upper West Side,400,Entire home/apt
Manhattan,Theater District,200,Entire home/apt
Manhattan,Lower East Side,180,Entire home/apt
Brooklyn,Williamsburg,60,Private room
Brooklyn,Williamsburg,70,Private room
Manhattan,Washington Heights,40,Private room
Brooklyn,Prospect-Lefferts Gardens,250,Entire home/apt
Brooklyn,Crown Heights,80,Entire home/apt
Manhattan,Harlem,85,Entire home/apt
Manhattan,Chinatown,70,Private room
Brooklyn,Williamsburg,55,Private room
Brooklyn,Bedford-Stuyvesant,60,Private room
Brooklyn,Greenpoint,100,Private room
Brooklyn,Williamsburg,73,Private room
Brooklyn,Crown Heights,145,Entire home/apt
Queens,Astoria,65,Private room
Brooklyn,Crown Heights,162,Entire home/apt
Queens,Rego Park,275,Entire home/apt
Brooklyn,Williamsburg,56,Private room
Manhattan,Greenwich Village,200,Entire home/apt
Manhattan,Hell's Kitchen,250,Entire home/apt
Brooklyn,Bedford-Stuyvesant,500,Entire home/apt
Brooklyn,Crown Heights,120,Entire home/apt
Brooklyn,Flatbush,55,Private room
Brooklyn,South Slope,59,Private room
Brooklyn,Williamsburg,99,Entire home/apt
Manhattan,Upper East Side,155,Entire home/apt
Manhattan,Kips Bay,200,Entire home/apt
Manhattan,Civic Center,60,Private room
Queens,Ozone Park,85,Entire home/apt
Manhattan,SoHo,150,Private room
Queens,Ridgewood,45,Private room
Manhattan,Hell's Kitchen,200,Entire home/apt
Brooklyn,Crown Heights,120,Entire home/apt
Manhattan,Hell's Kitchen,100,Entire home/apt
Manhattan,East Harlem,195,Entire home/apt
Brooklyn,Crown Heights,38,Private room
Brooklyn,Crown Heights,75,Private room
Brooklyn,Bensonhurst,76,Entire home/apt
Brooklyn,Bedford-Stuyvesant,175,Entire home/apt
Brooklyn,Greenpoint,500,Entire home/apt
Brooklyn,Bedford-Stuyvesant,179,Entire home/apt
Brooklyn,Flatbush,200,Private room
Manhattan,Lower East Side,400,Entire home/apt
Bronx,Kingsbridge,32,Shared room
Brooklyn,Williamsburg,50,Private room
Manhattan,Lower East Side,75,Private room
Manhattan,Harlem,40,Private room
Brooklyn,Bushwick,62,Private room
Brooklyn,Clinton Hill,239,Private room
Brooklyn,Williamsburg,179,Entire home/apt
Brooklyn,Williamsburg,250,Entire home/apt
Manhattan,West Village,400,Entire home/apt
Manhattan,Harlem,98,Private room
Brooklyn,Williamsburg,89,Private room
Manhattan,Upper East Side,185,Entire home/apt
Manhattan,East Village,125,Private room
Brooklyn,Carroll Gardens,180,Entire home/apt
Brooklyn,Flatbush,30,Shared room
Brooklyn,Crown Heights,60,Private room
Manhattan,Lower East Side,115,Private room
Brooklyn,Kensington,200,Entire home/apt
Brooklyn,Williamsburg,70,Private room
Manhattan,Upper West Side,179,Entire home/apt
Brooklyn,Bushwick,109,Entire home/apt
Manhattan,Hell's Kitchen,124,Private room
Manhattan,Chelsea,159,Entire home/apt
Brooklyn,Crown Heights,85,Entire home/apt
Brooklyn,Greenpoint,109,Private room
Manhattan,Tribeca,110,Entire home/apt
Manhattan,Tribeca,500,Private room
Manhattan,Harlem,65,Private room
Manhattan,Washington Heights,112,Private room
Brooklyn,Bedford-Stuyvesant,25,Shared room
Manhattan,Upper West Side,220,Entire home/apt
Brooklyn,Bushwick,79,Entire home/apt
Brooklyn,Greenpoint,200,Entire home/apt
Brooklyn,Crown Heights,55,Private room
Bronx,Soundview,50,Private room
Brooklyn,Greenpoint,129,Entire home/apt
Manhattan,Upper West Side,195,Entire home/apt
Brooklyn,Flatbush,79,Entire home/apt
Manhattan,Two Bridges,65,Private room
Manhattan,Hell's Kitchen,123,Entire home/apt
Brooklyn,Williamsburg,70,Private room
Queens,Long Island City,100,Private room
Brooklyn,South Slope,69,Private room
Manhattan,Tribeca,450,Entire home/apt
Manhattan,SoHo,650,Entire home/apt
Manhattan,East Harlem,125,Entire home/apt
Brooklyn,Greenpoint,75,Private room
Brooklyn,Greenpoint,154,Entire home/apt
Manhattan,Morningside Heights,60,Entire home/apt
Manhattan,Greenwich Village,279,Entire home/apt
Manhattan,Harlem,80,Private room
Manhattan,East Village,84,Private room
Brooklyn,Gowanus,180,Entire home/apt
Brooklyn,Crown Heights,100,Entire home/apt
Brooklyn,Bedford-Stuyvesant,86,Private room
Brooklyn,Park Slope,189,Entire home/apt
Manhattan,Financial District,130,Entire home/apt
Manhattan,Hell's Kitchen,150,Entire home/apt
Brooklyn,Greenpoint,149,Entire home/apt
Queens,Astoria,83,Entire home/apt
Manhattan,Upper East Side,180,Entire home/apt
Brooklyn,Bedford-Stuyvesant,18,Private room
Brooklyn,Park Slope,100,Entire home/apt
Brooklyn,Greenpoint,145,Private room
Manhattan,Lower East Side,133,Entire home/apt
Queens,Astoria,75,Private room
Brooklyn,Williamsburg,100,Private room
Manhattan,East Village,99,Shared room
Brooklyn,Fort Greene,132,Entire home/apt
Manhattan,Harlem,72,Private room
Queens,Astoria,125,Entire home/apt
Brooklyn,Williamsburg,102,Entire home/apt
Brooklyn,Greenpoint,129,Entire home/apt
Brooklyn,Columbia St,107,Entire home/apt
Manhattan,Nolita,250,Entire home/apt
Queens,Bay Terrace,90,Private room
Manhattan,Upper West Side,200,Entire home/apt
Brooklyn,Williamsburg,90,Private room
Manhattan,Upper West Side,200,Private room
Brooklyn,Boerum Hill,160,Entire home/apt
Manhattan,Hell's Kitchen,124,Private room
Brooklyn,Bedford-Stuyvesant,95,Private room
Brooklyn,Greenpoint,129,Entire home/apt
Brooklyn,Williamsburg,110,Private room
Manhattan,Harlem,92,Private room
Manhattan,Harlem,175,Entire home/apt
Queens,Ozone Park,30,Private room
Brooklyn,Red Hook,134,Entire home/apt
Manhattan,SoHo,400,Entire home/apt
Manhattan,Kips Bay,152,Entire home/apt
Queens,Jackson Heights,75,Shared room
Manhattan,Financial District,169,Private room
Brooklyn,Williamsburg,95,Private room
Brooklyn,Williamsburg,90,Private room
Manhattan,Harlem,60,Private room
Manhattan,Lower East Side,180,Entire home/apt
Manhattan,Upper East Side,84,Private room
Brooklyn,Bushwick,98,Entire home/apt
Brooklyn,Flatlands,90,Entire home/apt
Brooklyn,Greenpoint,134,Entire home/apt
Manhattan,Chelsea,119,Private room
Manhattan,Upper East Side,141,Entire home/apt
Manhattan,Greenwich Village,199,Entire home/apt
Brooklyn,Bushwick,108,Entire home/apt
Manhattan,Hell's Kitchen,150,Entire home/apt
Brooklyn,Williamsburg,175,Entire home/apt
Brooklyn,Boerum Hill,90,Private room
Brooklyn,Prospect-Lefferts Gardens,45,Private room
Brooklyn,Borough Park,49,Private room
Queens,Jamaica,63,Entire home/apt
Manhattan,Harlem,100,Private room
Brooklyn,Williamsburg,110,Private room
Manhattan,Upper East Side,600,Entire home/apt
Queens,Long Island City,395,Entire home/apt
Queens,Astoria,70,Private room
Manhattan,Midtown,399,Entire home/apt
Manhattan,Upper West Side,145,Entire home/apt
Queens,Astoria,59,Private room
Queens,Astoria,50,Private room
Manhattan,Nolita,145,Entire home/apt
Manhattan,East Village,245,Entire home/apt
Manhattan,Hell's Kitchen,149,Private room
Brooklyn,Bushwick,50,Private room
Queens,Ditmars Steinway,150,Entire home/apt
Manhattan,Lower East Side,110,Private room
Brooklyn,Crown Heights,60,Entire home/apt
Brooklyn,South Slope,165,Entire home/apt
Brooklyn,Borough Park,53,Private room
Manhattan,East Village,160,Entire home/apt
Brooklyn,Borough Park,38,Private room
Brooklyn,Borough Park,49,Private room
Brooklyn,Borough Park,47,Private room
Brooklyn,Bushwick,120,Entire home/apt
Manhattan,Financial District,175,Entire home/apt
Manhattan,Theater District,129,Entire home/apt
Brooklyn,Crown Heights,105,Private room
Brooklyn,Carroll Gardens,275,Entire home/apt
Manhattan,Harlem,99,Private room
Manhattan,Kips Bay,210,Entire home/apt
Manhattan,Upper West Side,65,Private room
Brooklyn,Sunset Park,52,Private room
Queens,Astoria,100,Private room
Manhattan,Battery Park City,91,Private room
Manhattan,Harlem,124,Entire home/apt
Manhattan,Harlem,200,Private room
Brooklyn,Prospect Heights,550,Entire home/apt
Bronx,Norwood,70,Private room
Manhattan,Nolita,150,Entire home/apt
Brooklyn,Bedford-Stuyvesant,176,Entire home/apt
Manhattan,Morningside Heights,99,Entire home/apt
Manhattan,Gramercy,130,Entire home/apt
Manhattan,Hell's Kitchen,109,Entire home/apt
Manhattan,East Village,75,Private room
Manhattan,Hell's Kitchen,95,Private room
Brooklyn,Crown Heights,50,Private room
Brooklyn,Williamsburg,100,Private room
Manhattan,Harlem,68,Private room
Manhattan,Harlem,104,Private room
Brooklyn,Flatbush,30,Private room
Brooklyn,Clinton Hill,595,Entire home/apt
Brooklyn,Williamsburg,65,Private room
Manhattan,East Harlem,55,Shared room
Brooklyn,Boerum Hill,250,Entire home/apt
Brooklyn,Williamsburg,85,Entire home/apt
Manhattan,East Village,90,Private room
Manhattan,Washington Heights,90,Private room
Brooklyn,Williamsburg,90,Entire home/apt
Manhattan,Upper West Side,199,Entire home/apt
Manhattan,Chelsea,275,Entire home/apt
Brooklyn,Bay Ridge,125,Entire home/apt
Manhattan,Harlem,150,Private room
Queens,Rockaway Beach,140,Entire home/apt
Manhattan,East Harlem,120,Entire home/apt
Brooklyn,Williamsburg,60,Private room
Brooklyn,Bushwick,36,Private room
Manhattan,Harlem,85,Private room
Brooklyn,Crown Heights,85,Private room
Brooklyn,Flatbush,45,Private room
Brooklyn,Bedford-Stuyvesant,92,Entire home/apt
Brooklyn,Bedford-Stuyvesant,30,Private room
Brooklyn,Greenpoint,75,Private room
Manhattan,Midtown,99,Entire home/apt
Brooklyn,Williamsburg,100,Entire home/apt
Brooklyn,Boerum Hill,115,Entire home/apt
Brooklyn,Bushwick,175,Entire home/apt
Brooklyn,Crown Heights,112,Entire home/apt
Manhattan,Harlem,450,Entire home/apt
Manhattan,Upper East Side,103,Entire home/apt
Manhattan,Upper East Side,117,Entire home/apt
Manhattan,Morningside Heights,150,Entire home/apt
Staten Island,Concord,129,Private room
Manhattan,Upper West Side,145,Entire home/apt
Brooklyn,Bushwick,115,Entire home/apt
Manhattan,Upper West Side,90,Entire home/apt
Manhattan,Hell's Kitchen,90,Entire home/apt
Brooklyn,Williamsburg,100,Entire home/apt
Bronx,Concourse,41,Private room
Manhattan,Upper East Side,145,Entire home/apt
Manhattan,Upper East Side,139,Entire home/apt
Manhattan,Upper East Side,117,Entire home/apt
Brooklyn,Bushwick,50,Private room
Manhattan,Upper West Side,80,Private room
Brooklyn,Prospect Heights,100,Entire home/apt
Brooklyn,Fort Greene,225,Entire home/apt
Brooklyn,Flatbush,70,Private room
Bronx,Co-op City,80,Private room
Manhattan,Harlem,70,Private room
Brooklyn,Borough Park,31,Private room
Brooklyn,Bushwick,40,Private room
Manhattan,Harlem,290,Entire home/apt
Brooklyn,Fort Greene,235,Entire home/apt
Brooklyn,Williamsburg,200,Entire home/apt
Brooklyn,Bedford-Stuyvesant,180,Entire home/apt
Brooklyn,South Slope,110,Entire home/apt
Manhattan,East Village,120,Private room
Manhattan,Upper East Side,142,Entire home/apt
Manhattan,Lower East Side,105,Private room
Manhattan,Upper East Side,100,Entire home/apt
Manhattan,Hell's Kitchen,102,Private room
Brooklyn,Williamsburg,152,Entire home/apt
Brooklyn,Crown Heights,150,Entire home/apt
Queens,Ditmars Steinway,95,Entire home/apt
Brooklyn,East Flatbush,67,Private room
Brooklyn,Crown Heights,65,Private room
Brooklyn,Williamsburg,79,Private room
Brooklyn,Flatbush,55,Private room
Manhattan,Morningside Heights,83,Entire home/apt
Manhattan,Gramercy,200,Entire home/apt
Brooklyn,Carroll Gardens,150,Private room
Manhattan,East Village,160,Entire home/apt
Queens,Maspeth,80,Entire home/apt
Manhattan,Upper West Side,159,Entire home/apt
